Output Steer,Human Steer,Output Motor,Human Motor,Loss
3.658028692007064819e-02,-6.638697348535060883e-03,5.893529653549194336e-01,5.787878632545471191e-01,1.016341149806976318e-03
4.533587396144866943e-01,4.780282080173492432e-01,5.566229820251464844e-01,5.656566023826599121e-01,3.685318515636026859e-04
4.792290627956390381e-01,4.712073206901550293e-01,5.746932625770568848e-01,5.656566023826599121e-01,1.390872348565608263e-04
3.789544403553009033e-01,2.089512348175048828e-01,5.892114043235778809e-01,6.013090610504150391e-01,1.515806932002305984e-02
4.890109896659851074e-01,4.749402999877929688e-01,5.704146623611450195e-01,5.894564986228942871e-01,3.293193585705012083e-04
1.941632777452468872e-01,1.622999608516693115e-01,5.607334375381469727e-01,5.411171913146972656e-01,7.723077433183789253e-04
8.199748992919921875e-01,9.480484724044799805e-01,5.696521401405334473e-01,5.516716837882995605e-01,8.493388071656227112e-03
9.208706021308898926e-01,9.730307459831237793e-01,5.489678978919982910e-01,5.555555224418640137e-01,1.392350532114505768e-03
8.687092661857604980e-01,8.530152440071105957e-01,5.499811172485351562e-01,5.838382840156555176e-01,7.170058670453727245e-04
6.044979691505432129e-01,6.322670578956604004e-01,5.832810401916503906e-01,5.773736834526062012e-01,4.450312699191272259e-04
5.231926441192626953e-01,5.301338434219360352e-01,5.828166007995605469e-01,6.046231985092163086e-01,6.825707387179136276e-04
4.145191311836242676e-01,4.006438851356506348e-01,5.888035893440246582e-01,6.070696711540222168e-01,3.219185455236583948e-04
6.774130463600158691e-01,6.526297330856323242e-01,5.855365991592407227e-01,5.727272629737854004e-01,4.243066650815308094e-04
1.736839711666107178e-01,3.047880828380584717e-01,5.713430643081665039e-01,5.818121433258056641e-01,8.676744066178798676e-03
